nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
        96, 0.000000000E+00,-7.652907372E-01, 0.000000000E+00, 2.978188396E-01, 7.730399370E-01, 6.395025644E-03, 1.735341968E-03, 3.725667018E-03,-1.631899504E-03, 0.000000000E+00, 6.554171443E-01
        97, 0.000000000E+00,-7.626380920E-01, 0.000000000E+00, 2.991611958E-01, 7.747690678E-01, 6.369659211E-03, 1.731138909E-03, 3.710909747E-03,-1.626370940E-03, 0.000000000E+00, 6.482723951E-01
        98, 0.000000000E+00,-7.599854469E-01, 0.000000000E+00, 3.004920483E-01, 7.764794827E-01, 6.344355643E-03, 1.726918388E-03, 3.696199972E-03,-1.620839117E-03, 0.000000000E+00, 6.412944794E-01
        99, 0.000000000E+00,-7.573328018E-01, 0.000000000E+00, 3.018115163E-01, 7.781715393E-01, 6.319114007E-03, 1.722680754E-03, 3.681537230E-03,-1.615303569E-03, 0.000000000E+00, 6.344305277E-01
       100, 0.000000000E+00,-7.546801567E-01, 0.000000000E+00, 3.031198382E-01, 7.798454762E-01, 6.293932907E-03, 1.718426240E-03, 3.666921519E-03,-1.609764178E-03, 0.000000000E+00, 6.276983619E-01
       101, 0.000000000E+00,-7.520275116E-01, 0.000000000E+00, 3.044171333E-01, 7.815017700E-01, 6.268812809E-03, 1.714155776E-03, 3.652352840E-03,-1.604221528E-03, 0.000000000E+00, 6.210868359E-01
       102, 0.000000000E+00,-7.493748069E-01, 0.000000000E+00, 3.057035804E-01, 7.831406593E-01, 6.243753713E-03, 1.709869248E-03, 3.637830494E-03,-1.598675619E-03, 0.000000000E+00, 6.145828962E-01
       103, 0.000000000E+00,-7.467221618E-01, 0.000000000E+00, 3.069792390E-01, 7.847625017E-01, 6.218753755E-03, 1.705567120E-03, 3.623354016E-03,-1.593126450E-03, 0.000000000E+00, 6.081953049E-01
       104, 0.000000000E+00,-7.440695167E-01, 0.000000000E+00, 3.082444668E-01, 7.863675952E-01, 6.193813868E-03, 1.701249857E-03, 3.608923173E-03,-1.587574370E-03, 0.000000000E+00, 6.019458771E-01
       105, 0.000000000E+00,-7.414168715E-01, 0.000000000E+00, 3.094992638E-01, 7.879562378E-01, 6.168933585E-03, 1.696917694E-03, 3.594538197E-03,-1.582019497E-03, 0.000000000E+00, 5.958193541E-01
       106, 0.000000000E+00,-7.387642264E-01, 0.000000000E+00, 3.107439578E-01, 7.895287275E-01, 6.144112907E-03, 1.692571095E-03, 3.580198623E-03,-1.576461829E-03, 0.000000000E+00, 5.898156166E-01
       107, 0.000000000E+00,-7.361115813E-01, 0.000000000E+00, 3.119786680E-01, 7.910856009E-01, 6.119350903E-03, 1.688210294E-03, 3.565903753E-03,-1.570901368E-03, 0.000000000E+00, 5.839502215E-01
       108, 0.000000000E+00,-7.334588766E-01, 0.000000000E+00, 3.132035136E-01, 7.926268578E-01, 6.094647106E-03, 1.683835522E-03, 3.551653121E-03,-1.565338345E-03, 0.000000000E+00, 5.781748295E-01
       109, 0.000000000E+00,-7.308062315E-01, 0.000000000E+00, 3.144186735E-01, 7.941529751E-01, 6.070001516E-03, 1.679447247E-03, 3.537446726E-03,-1.559772762E-03, 0.000000000E+00, 5.724718571E-01
       110, 0.000000000E+00,-7.281535864E-01, 0.000000000E+00, 3.156243563E-01, 7.956641912E-01, 6.045413204E-03, 1.675045700E-03, 3.523284569E-03,-1.554204733E-03, 0.000000000E+00, 5.669069290E-01
       111, 8.673617380E-19,-7.255009413E-01, 0.000000000E+00, 3.168206811E-01, 7.971607447E-01, 6.020883564E-03, 1.670631114E-03, 3.509165719E-03,-1.548634144E-03, 0.000000000E+00, 5.614475012E-01
       112, 0.000000000E+00,-7.228482962E-01, 0.000000000E+00, 3.180077672E-01, 7.986429930E-01, 5.996411666E-03, 1.666203840E-03, 3.495091107E-03,-1.543061459E-03, 0.000000000E+00, 5.560758114E-01
       113, 0.000000000E+00,-7.201956511E-01, 0.000000000E+00, 3.191857934E-01, 8.001111746E-01, 5.971996114E-03, 1.661764109E-03, 3.481059801E-03,-1.537486445E-03, 0.000000000E+00, 5.508269668E-01
       114, 0.000000000E+00,-7.175430059E-01, 0.000000000E+00, 3.203548789E-01, 8.015654087E-01, 5.947637372E-03, 1.657312270E-03, 3.467071336E-03,-1.531908987E-03, 0.000000000E+00, 5.456463695E-01
